,SummonerID,Summoner_Name,Wins,Losses,League_Points,Account_ID
268,MNyHlvF-n-JWwyYLDFdS8HRhyYA8lhtVFJ6Jwyt5dopD-9w,AcesAkimbo,137,121,46,k0mjm0rCLVGXsdvaNfklOIwn2sopQd9aDKGu7jIj-vl0uRM
269,Mb7zO50pRRD-wgLhaaFsSJ6-QwxS_q-lPvC6CrHWN_848ts,Fanatiik,97,92,30,VDbgZfB3T7FQWEHvLGxNdsPTsQ-cgsBQkJfkHZ0Var1SbWM
270,Mbe9tWr1zE8g7OfTRJjI9XZTzmxj1aDJpCLBCqqz2YC40vE,Chase Kip,241,218,94,o7PcY7lmi8OcGHL1L5MyIdZYtez-IXxBFE_Q5BlJAdk6qhI
271,MdK7FYSp4coFcg7jjs1GzMQj7B6_bOnxI9-N3a-_YwdZgb8,420xWeeabooxMLGX,88,69,60,Tl_bD-j9QCiIZLO2fUcwNlxiIEvgzPKnJ6RKFM6f5t4
272,MeRe1-t1Ot3JAqbOf4Mc8HJY3x0hEWe-aCVn8zwgghDcDwA,lovemyjanna,89,70,27,ZmL0hDYmkHUPGT-ASdyCwa1-q0KzHvFKpI4jTi10ELBmTg
273,Mf2OKZ2xdaQ95yCGj5RbkEphfhHi9zKF-3kBoIDUn2jonH4,Forest Within1,187,172,116,fDXHt6gu1TfGwEGTKmQswz49WxmgjtVmthIboLFaFNHAkA
274,Ml2Jtc3UqF4r7UnD5Z_1_JZxm0_1kwNTdu57iwt6b1FaT7s,neukda3,76,64,14,nlOBU_YBkioX4JpTSIyE0PUQ0cgG2E-8vFGVoGqfgvE02b4
275,MnlRvEE3oEdJjTCCAvSz1gNJBylmjoSr9h6EbjFY1o6al7o,PANTS GAREN ONLY,142,65,59,t8vdTfp3opWjJAzFdEZK_aIMqDNJFpfUQUc9bqqfAqJYHg
276,MuhWzJeIRjNRuJXby1lqzq3iQew8EuDkKCIMoxbuX3f_gJQ,Trash KATARlNA,178,158,50,I0E0TZ19ZYTYSpiBNl9Dzl6253wFcsMuuJV6JYgia1Qh0A
277,MunbCpiT1rmZRtodXrTkyS8_iRjHKrjMtry_dafn_O8edww,pepegaherold,100,95,100,vw4vNl3FnJNmoDxhlmB5wVeqVUUJvO4SA7Pc3Le51pP4YA
278,MxvNlu5O9GO0_DpEJmFaY-BQ1mYVgqnpJndvh6NMQBbgB2c,Aielth,70,47,115,Na9F4EIBfam0J_t9yVFm4daeWs3T7ppPaYvIBjCiDmpCzw
279,N8Q7-mgW_tX0YYDgRQC9387OQsvJ_RPmj8z-lRnEVDjwpPg,Azravir,163,144,29,vABC-zFmuRMBU1GoXhjrWIJ5sfZ0ejtUlvSBBC4bRf5rBQ
280,N9IWYV4ncsMys6wGFheiu0L8pF2JecCI2CDff6WzvVOOOoU,Lourlo,128,116,107,AGhseWSO0ZLfIrU5_5DG9HiZ-we-zcOZWzEgiwa2Ix0WNA
281,NCF7xQHiHQlgmPrhErj7lNO8t2JGh4M-9GoURynd6EDjL10,ObsidianDragon,112,92,73,y586CSt1yU4j25l_x_TSSAkRofhM83IKLIz8n8A0090I6Io
282,NG0jzxyISSi0oW_nj8D1S_4WImLGZhZawwtuJRiaCpS38-M,holy krpp,65,48,72,CQgOJM9vOctRzftkoXslDr9TF4ApwHBKWq0_0Vu9GiXAxQ
283,NnkZcr0OkEhq0vqbDAETPoECzWtNV4_SIeWNfpoXQikyKDU,Tempos,361,351,39,Xi8LusTK1Yc29HVX9Dr9Rc25Esue8M7m5I0rnGuCifDNJQ
284,NpK1vt_B34QvsNV0pCV3q_TLZSqXJJNMvv-NOXWm_vE7A14,Brett,121,104,13,xEEWKw_BXw4FmkHUd15DcDzg-hSGrWlQwfE3Qh4LeA9tRA
285,NpxcayPst3G7QyXhmQ-QQPAfwqUxshsOTqw2rNoGXI8g7_Q,O hide on bush O,174,158,60,5Nz1d2JDzV04e6yXLEc3hetoYZXIxzYQNwkNzY_xeUgibcA
286,NshtteNIzkQtM3Om5LxCFHgdAU7TGV9K1ITxBS4hFsd_PQo,Spawwwwn,201,177,124,PoZdsinVMnMTRsr4Sfmer7ASeqYcE2pOwZOYX7_9i6rZgA
287,O0Fpsz0zugvhOjdu8qF8pALKuj2s7LbVwAcmgNkJ48H2vv0,Yasuua,99,71,56,bv-0FF8A09DZFsuwBghgGkUlZFWaTmamnAuBH7eafRyj1C8
288,O1zU3M7pNnbC13FF9RZmSuSYIepH5rsEcUAMtaTm7v8HT_o,A Panda Milk Tea,121,97,49,dPMDB-2oO_1brGHKwteW4RlvYj7ZnuiklWyORdkBGf76lg
289,OG1ZEpTSTaDYAzKCuRR0l60iyZQtXzYjbFt-ZdaWHIS-,Castƒorm,149,127,96,6VPhPWy7t6N9q6TiElIQubUyLNADt2DLhFLrBiogBEk0vEY
290,OOVb1jYlIRnXSc_dUl9CWjg72BQSuqe2scw5VoFnANc,no dream,104,78,160,wbnO_Z5nvCmZzuZKHnh1jveJMduum9wtXq7Pofeu_9V8dmY
291,ObDsfA6EMJSifzRC_T00gP1ZKDGNmZVuz8PW9Dk03SScSt4,Rove,176,154,39,pofoMpp7KDZaOk_XkDXTpgF9bnSFyMzduq8P8ZTHJmfsdw
292,Ockmg6fFd9nKRTlMDJDnNg7sUKmUtngLsF-4EHY4cfxkQMQ,Krypt18 ,90,85,15,2XGCCLlWkM7S0vjMd4zj6mNF4PJ5gC7O_mNEfQIjXy_zges
