,Lane,GameID,Champion
1996,MID,3014147747,238
1997,NONE,3014156275,238
1998,TOP,3014151637,157
1999,JUNGLE,3014101439,64
2000,BOTTOM,3015959917,37
2001,BOTTOM,3015823110,37
2002,BOTTOM,3015807419,37
2003,BOTTOM,3015794547,37
2004,NONE,3015812269,37
2005,JUNGLE,3015902321,104
2006,JUNGLE,3015550982,104
2007,NONE,3015532490,30
2008,MID,3014564526,30
2009,MID,3014543777,30
2010,JUNGLE,3014447229,59
2011,JUNGLE,3014449959,59
2012,JUNGLE,3014412703,203
2013,JUNGLE,3014385469,59
2014,JUNGLE,3014353909,59
2015,TOP,3015900049,31
2016,TOP,3015856028,86
2017,BOTTOM,3015822730,81
2018,MID,3015797821,43
2019,MID,3015804132,43
2020,BOTTOM,3012489195,119
2021,BOTTOM,3012432189,119
2022,NONE,3012407952,42
2023,BOTTOM,3012087044,51
2024,BOTTOM,3012067955,51
2025,NONE,3014998712,75
2026,MID,3013416643,42
2027,NONE,3013412544,82
2028,MID,3013137742,4
2029,MID,3013114760,4
2030,JUNGLE,3015835648,59
2031,JUNGLE,3015822358,154
2032,BOTTOM,3015376336,15
2033,BOTTOM,3015359013,18
2034,BOTTOM,3015317791,15
2035,MID,3015071734,103
2036,JUNGLE,3015068262,121
2037,NONE,3015056426,421
2038,JUNGLE,3015063354,20
2039,TOP,3015059840,36
2040,TOP,3015082607,96
2041,NONE,3015071878,13
2042,TOP,3014516554,201
2043,JUNGLE,3014464140,64
2044,BOTTOM,3014455301,67
2045,BOTTOM,3015683674,45
2046,BOTTOM,3014991035,25
2047,BOTTOM,3013206404,555
2048,TOP,3007761543,143
2049,NONE,3007726664,516
2050,BOTTOM,3015970689,161
2051,MID,3015928178,53
2052,BOTTOM,3015888268,161
2053,MID,3015868938,161
2054,BOTTOM,3015577937,53
2055,JUNGLE,3014318334,28
2056,TOP,3014303040,157
2057,JUNGLE,3014256843,48
2058,NONE,3010487148,120
2059,BOTTOM,3009436190,43
2060,NONE,3010701410,412
2061,NONE,3010689337,223
2062,BOTTOM,3010676939,223
2063,BOTTOM,3010663734,267
2064,BOTTOM,3010637948,412
2065,BOTTOM,3015502944,145
2066,TOP,3015055179,142
2067,JUNGLE,3015050137,84
2068,TOP,3015016317,8
2069,NONE,3015012501,27
2070,MID,3013684361,42
2071,TOP,3013657531,238
2072,MID,3013663221,238
2073,NONE,3013670966,7
2074,NONE,3013629367,84
2075,TOP,3015626555,222
2076,TOP,3014383818,15
2077,BOTTOM,3014346554,163
2078,NONE,3014343324,157
2079,NONE,3014318995,103
2080,BOTTOM,3015672902,145
2081,BOTTOM,3015651553,81
2082,BOTTOM,3015612734,51
2083,BOTTOM,3015604331,236
2084,BOTTOM,3015553632,25
2085,BOTTOM,3015994520,518
2086,BOTTOM,3015909882,518
2087,NONE,3015894586,518
2088,BOTTOM,3015858667,518
2089,BOTTOM,3015826901,518
2090,BOTTOM,3015757306,412
2091,BOTTOM,3015752499,412
2092,BOTTOM,3015170356,53
2093,BOTTOM,3014625658,412
2094,BOTTOM,3014594224,117
2095,NONE,3015776084,10
2096,NONE,3015717766,68
2097,NONE,3015668364,141
2098,NONE,3015584643,38
2099,BOTTOM,3014766998,104
2100,MID,3015780021,8
2101,MID,3015737596,131
2102,JUNGLE,3015340564,421
2103,TOP,3015112798,10
2104,MID,3015035102,38
2105,BOTTOM,3015882284,236
